english_word,native_translation,definition_vi
wing,cánh; cánh cửa; bên; phe,"Bộ phận ở lưng chim hoặc côn trùng dùng để bay; cũng có thể là cánh cửa hoặc một bộ phận ở bên hông của một vật thể; hoặc một nhóm người có cùng quan điểm trong một đảng."
create,tạo ra; sáng tạo,"Làm cho một cái gì đó tồn tại hoặc xảy ra mà trước đó chưa tồn tại."
neighbor,hàng xóm,"Người sống hoặc ở gần nhà hoặc địa điểm của bạn."
wash,giặt; rửa; tắm,"Làm sạch thứ gì đó bằng nước, thường dùng xà phòng. Có thể là quần áo, chén đĩa, hoặc cơ thể."
bat,dơi; gậy đánh bóng chày,"Một loài động vật có cánh, thường hoạt động vào ban đêm; cũng là một cái gậy dài bằng gỗ dùng để đánh bóng trong các môn thể thao như bóng chày hoặc cricket."
rather,thà; hơn là; khá là,"Dùng để chỉ sự lựa chọn hoặc ưu tiên (thà... hơn là); hoặc để diễn tả mức độ ở mức trung bình cao (khá là)."
crowd,đám đông; chen lấn; tụ tập,"Một nhóm người lớn ở cùng một chỗ; cũng có nghĩa là chen chúc vào một không gian hoặc tụ tập lại với nhau."
corn,ngô; bắp,"Một loại ngũ cốc có hạt màu vàng, mọc trên thân cây cao, thường được ăn luộc, nướng hoặc làm bỏng ngô."
compare,so sánh,"Xem xét sự giống và khác nhau giữa hai hoặc nhiều người, vật hoặc ý tưởng."
poem,bài thơ,"Một tác phẩm văn học được viết theo các dòng, thường có vần, điệu hoặc nhịp điệu nhất định, dùng để diễn tả cảm xúc hoặc ý tưởng."
string,chuỗi,"Một dãy các ký tự, như chữ, số hoặc biểu tượng, được kết nối với nhau."
bell,cái chuông; tiếng chuông,"Một vật rỗng, thường có hình cái cốc, phát ra âm thanh khi rung động; hoặc âm thanh do vật đó tạo ra."
depend,phụ thuộc; tùy thuộc; lệ thuộc,"Dựa vào hoặc cần ai đó hoặc cái gì đó để được hỗ trợ hoặc thành công; bị chi phối bởi."
meat,thịt,"Phần (thường là cơ hoặc mỡ) của động vật được dùng làm thức ăn."
rub,xoa; chà xát,"Di chuyển bàn tay, khăn hoặc vật gì khác qua lại trên bề mặt để làm sạch, làm khô, làm ấm hoặc massage."
tube,ống; tuýp,"Một vật rỗng, dài, thường hình trụ, được dùng để chứa hoặc dẫn chất lỏng, khí, hoặc vật liệu khác; cũng có nghĩa là một cái tuýp kem đánh răng hoặc sơn."
famous,nổi tiếng,"Được nhiều người biết đến và nói chuyện về."
dollar,đô la; đô la Mỹ,"Đơn vị tiền tệ chính thức của Hợp chủng quốc Hoa Kỳ và một số quốc gia khác."
stream,suối; dòng suối; luồng; chảy thành dòng,"Một dòng nước nhỏ hẹp chảy tự nhiên trên đất; cũng có thể là một luồng chất lỏng, khí hoặc hạt liên tục."
fear,sợ hãi; nỗi sợ hãi; sợ,"Cảm giác lo lắng hoặc hoảng sợ do nhận thức về nguy hiểm hoặc mối đe dọa; cũng là hành động trở nên sợ hãi."
sight,tầm nhìn; cảnh tượng; thị lực; tầm mắt,"Khả năng nhìn; thứ có thể nhìn thấy (cảnh); một cái gì đó mà bạn đột nhiên nhìn thấy."
thin,mỏng; gầy; loãng,"Có độ dày nhỏ; không dày; cũng có nghĩa là người hoặc động vật có rất ít mỡ trên cơ thể; hoặc chất lỏng không đặc."
triangle,hình tam giác,"Một hình phẳng có ba cạnh thẳng và ba góc."
planet,hành tinh,"Một thiên thể lớn quay quanh một ngôi sao."
hurry,vội; vội vàng; sự vội vàng,"Di chuyển hoặc làm điều gì đó một cách nhanh chóng, thường là vì thiếu thời gian."
chief,trưởng; chính; quan trọng nhất,"Người hoặc vật có quyền hạn cao nhất; là phần quan trọng nhất hoặc chính yếu nhất."
colony,thuộc địa; đàn; tổ,"Một khu vực hoặc quốc gia nằm dưới sự kiểm soát chính trị của một quốc gia khác và được cai trị bởi quốc gia đó; cũng có thể là một nhóm động vật hoặc thực vật cùng loài sống gần nhau hoặc cùng nhau."
clock,đồng hồ,"Thiết bị dùng để đo và hiển thị thời gian, thường có kim (hoặc số) quay trên mặt hoặc hiển thị số điện tử."
mine,của tôi; hầm mỏ; mìn,"Thuộc về tôi; một địa điểm dưới lòng đất để khai thác khoáng sản; hoặc một quả bom đặt dưới đất hoặc nước."
tie,buộc; thắt; cà vạt,"Hành động dùng dây, sợi hoặc vật tương tự để kết nối hoặc cố định; cũng là một dải vải dài đeo quanh cổ áo sơ mi."
enter,vào; đi vào; nhập vào,"Di chuyển vào một nơi nào đó; cũng có nghĩa là ghi thông tin vào máy tính hoặc một biểu mẫu."
major,chính; lớn; chuyên ngành; thiếu tá,"Quan trọng; đáng kể; liên quan đến một lĩnh vực nghiên cứu chuyên sâu; một cấp bậc sĩ quan trong quân đội."
fresh,tươi; mới; trong lành; sảng khoái,"Mới được làm ra hoặc thu hoạch, chưa bị hỏng; không bị cũ; sạch sẽ và dễ chịu (không khí); cảm giác khỏe mạnh và tràn đầy năng lượng."
search,tìm kiếm; sự tìm kiếm,"Hành động cố gắng tìm thấy một cái gì đó hoặc ai đó; một nỗ lực để khám phá thông tin."
send,gửi; gửi đi,"Truyền hoặc chuyển một cái gì đó từ nơi này đến nơi khác."
yellow,vàng,"Có màu như màu của quả chanh chín hoặc ánh nắng mặt trời."
gun,súng; khẩu súng; súng lục,"Một vũ khí dùng để bắn đạn, thường được giữ bằng tay."
allow,cho phép; cho phép làm gì đó,"Đồng ý hoặc cho phép ai đó làm điều gì đó; để điều gì đó xảy ra hoặc tồn tại."
print,in; vào; ở trong,"Chỉ vị trí (thời gian hoặc địa điểm), trạng thái hoặc sự di chuyển vào bên trong."
dead,chết; đã chết; chết chóc,"Không còn sống nữa; không hoạt động hoặc không sử dụng được nữa."
spot,chỗ; điểm; vết; phát hiện,Chỉ một vị trí hoặc địa điểm cụ thể; một vết bẩn hoặc dấu nhỏ trên bề mặt; hoặc hành động nhìn thấy hoặc nhận ra điều gì đó.
desert,sa mạc; bỏ mặc; rời bỏ,"Một vùng đất rộng lớn khô cằn, có ít hoặc không có thảm thực vật; cũng có nghĩa là bỏ rơi, rời bỏ ai đó hoặc nơi chốn, đặc biệt là khi họ cần mình."
suit,bộ com-lê; bộ đồ; kiện; phù hợp,"Một bộ quần áo (thường là áo khoác và quần hoặc váy) được làm từ cùng một loại vải; một vụ kiện pháp lý; hoặc có nghĩa là làm cho cái gì đó phù hợp hoặc thuận tiện."
current,hiện tại; đương thời; dòng chảy,"Xảy ra, tồn tại hoặc được sử dụng vào thời điểm hiện tại; cũng có nghĩa là luồng nước, không khí hoặc điện di chuyển theo một hướng nhất định."
lift,nâng lên; nhấc lên; thang máy,"Nhấc hoặc di chuyển thứ gì đó lên vị trí cao hơn; cũng là một thiết bị để di chuyển người hoặc vật lên xuống giữa các tầng."
rose,hoa hồng; tăng lên,"Một loại hoa phổ biến, thường có gai trên thân và nhiều màu sắc, đặc biệt là đỏ hoặc hồng. Cũng là dạng quá khứ đơn của động từ 'rise'."
continue,tiếp tục; tiếp diễn; duy trì,"Tiếp tục làm điều gì đó mà không dừng lại."
block,khối; chặn; làm tắc nghẽn,"Một mảnh vật liệu rắn lớn và hình vuông; hành động ngăn cản chuyển động, giao tiếp hoặc sự tiến bộ của một cái gì đó hoặc ai đó. Cũng có thể là một nhóm các tòa nhà trên cùng một con phố."
chart,biểu đồ; đồ thị,"Một hình vẽ hoặc sơ đồ hiển thị thông tin, thường là dữ liệu số, dưới dạng các đường, cột hoặc các hình khác để dễ so sánh và hiểu."
hat,mũ; nón,"Vật đội trên đầu để che nắng, giữ ấm hoặc làm trang trí."
sell,bán,"Đổi một vật gì đó hoặc một dịch vụ lấy tiền."
success,thành công; sự thành công,"Kết quả thuận lợi hoặc đạt được mục tiêu mong muốn."
company,công ty; sự đồng hành; bạn bè,"Một doanh nghiệp được thành lập để kinh doanh; cũng có nghĩa là ở cùng với ai đó (sự đồng hành) hoặc một nhóm người (bạn bè)."
subtract,trừ; bớt,"Thực hiện phép tính loại bỏ một số lượng từ một số lượng khác lớn hơn; làm giảm số lượng."
event,sự kiện; cuộc thi đấu; dịp đặc biệt,"Một điều gì đó xảy ra, đặc biệt là một điều quan trọng hoặc khác thường; cũng có thể là một cuộc thi đấu hoặc một dịp đặc biệt."
particular,riêng; đặc biệt; cụ thể,"Thuộc về hoặc liên quan đến một cá nhân, sự vật hoặc nhóm cụ thể chứ không phải chung chung; nổi bật hơn những thứ khác."
deal,thỏa thuận; giao dịch; đối phó,"Một thỏa thuận hoặc sự sắp xếp, đặc biệt là trong kinh doanh; cách hành xử hoặc giải quyết một vấn đề."
swim,bơi; bơi lội,"Hoạt động di chuyển trong nước bằng cách sử dụng tay và chân; cũng là môn thể thao."
term,thuật ngữ; kỳ hạn; điều khoản,"Một từ hoặc cụm từ được dùng để gọi tên hoặc mô tả một sự vật, đặc biệt là trong một lĩnh vực cụ thể; một khoảng thời gian cố định; một điều kiện hoặc quy định trong hợp đồng."
opposite,đối diện; đối lập; ngược lại; mặt đối diện,"Khác biệt hoàn toàn; ở phía bên kia hoặc mặt kia của cái gì đó; đối đầu trực tiếp."
wife,vợ,Người phụ nữ đã kết hôn.
shoe,giày; chiếc giày,"Vật dùng để che hoặc bảo vệ bàn chân, thường mặc khi đi lại."
shoulder,vai,"Phần cơ thể nằm giữa cổ và cánh tay."
spread,lan; trải; phết; truyền bá,Trải ra một diện tích lớn hơn; truyền đi hoặc phát tán ra nhiều nơi.
arrange,sắp xếp; sắp đặt; bố trí,"Sắp đặt mọi thứ theo một thứ tự hoặc kế hoạch cụ thể; chuẩn bị cho một sự kiện nào đó."
camp,trại; cắm trại,"Nơi có lều tạm hoặc nhà nhỏ được dựng để ở tạm trong một thời gian, thường là ở nông thôn hoặc ngoài trời; hoặc hành động dựng lều và ở lại ở đó."
invent,phát minh; sáng chế; bịa đặt,"Tạo ra hoặc thiết kế ra thứ gì đó chưa tồn tại; cũng có nghĩa là tạo ra câu chuyện hoặc lời giải thích không có thật."
cotton,bông vải; sợi bông,"Loại sợi mềm thu được từ cây bông, dùng để làm vải hoặc nhồi."
born,sinh ra,"Được tạo ra hoặc có nguồn gốc từ quá trình sinh sản."
determine,xác định; quyết định; định đoạt,"Tìm ra hoặc thiết lập sự thật của một điều gì đó; quyết định chắc chắn một điều gì đó."
quart,lít; bốn phần năm lít,"Một đơn vị đo lường thể tích chất lỏng, tương đương khoảng 0.946 lít hoặc 1/4 gallon."
nine,chín,"Số sau số tám và trước số mười; là 9."
truck,xe tải,"Một loại xe cơ giới lớn dùng để vận chuyển hàng hóa."
noise,tiếng ồn; tiếng động,"Âm thanh, đặc biệt là âm thanh to, khó chịu hoặc hỗn loạn."
level,cấp độ; mức độ; bằng phẳng,"Chỉ độ cao, mức độ hoặc vị trí tương đối; cũng có nghĩa là bằng phẳng, không dốc."
chance,cơ hội; dịp; may mắn,"Khả năng điều gì đó xảy ra; một cơ hội thuận lợi hoặc may mắn bất ngờ."
gather,tập hợp; tụ tập; thu thập; gom lại,"Tập trung lại thành một nhóm; thu thập thông tin hoặc vật gì lại ở một chỗ."
shop,cửa hàng; mua sắm,"Một địa điểm mà hàng hóa được bán; hành động đi đến cửa hàng để mua đồ."
stretch,kéo dài; làm căng; căng ra,"Làm cho cái gì đó trở nên dài hơn hoặc rộng hơn bằng cách kéo hoặc làm giãn nó ra."
throw,ném; vứt; quăng,"Dùng tay đưa một vật đi với tốc độ, thường là bay trong không khí."
shine,chiếu sáng; toả sáng; chùi bóng,"Phát ra hoặc phản chiếu ánh sáng; trở nên sáng bóng do cọ xát hoặc lau chùi."
property,tài sản; của cải; bất động sản; đặc tính,"Vật hoặc quyền sở hữu thuộc về ai đó; cũng là đặc điểm hoặc tính chất đặc trưng của một vật."
column,cột,"Một cấu trúc thẳng, dài, thường làm bằng đá hoặc kim loại, dùng để đỡ hoặc trang trí; cũng dùng để chỉ một mục trong danh sách hoặc bảng."
molecule,phân tử,"Đơn vị cơ bản nhất của một hợp chất hóa học vẫn giữ được các đặc tính của hợp chất đó, được tạo thành từ hai hay nhiều nguyên tử liên kết với nhau."
select,chọn; lựa chọn,"Để chọn một cái gì đó hoặc ai đó từ một nhóm; hành động hoặc sự kiện chọn."
wrong,sai; sai lầm; hỏng,"Không đúng sự thật, không chính xác hoặc không phù hợp; không hoạt động bình thường."
gray,màu xám; xám,"Một màu nằm giữa đen và trắng."
repeat,lặp lại; nhắc lại,"Thực hiện (một hành động) hoặc nói (một lời) một lần nữa."
require,đòi hỏi; yêu cầu; cần,"Cần thiết một cái gì đó hoặc bắt buộc phải có hoặc làm gì đó."
broad,rộng rãi; bao la; rộng lớn,"Có chiều ngang lớn; bao phủ một khu vực rộng."
prepare,chuẩn bị; sửa soạn,"Sắp xếp mọi thứ cần thiết để làm hoặc sử dụng một cái gì đó; làm cho sẵn sàng."
salt,muối,"Chất kết tinh màu trắng hoặc trong mờ, có vị mặn đặc trưng, dễ tan trong nước, thường dùng để nêm nếm thức ăn hoặc bảo quản thực phẩm."
nose,mũi,"Bộ phận nhô ra trên khuôn mặt của động vật có vú, dùng để thở và ngửi."
plural,số nhiều,"Hình thái của danh từ, đại từ hoặc động từ được dùng khi nói về hai hoặc nhiều người hoặc vật."
anger,sự tức giận; làm ai đó tức giận,"Cảm giác bực bội, khó chịu mạnh mẽ khi điều gì đó sai hoặc bất công; cũng có nghĩa là làm cho ai đó cảm thấy như vậy."
claim,tuyên bố; khẳng định; yêu sách,"Nói rằng điều gì đó là đúng, đặc biệt khi người khác có thể không tin; hoặc yêu cầu chính thức một quyền lợi hoặc tài sản."
continent,châu lục; lục địa,"Một khối đất rất lớn là một trong bảy phân khu chính của bề mặt Trái Đất."
oxygen,ôxy; khí ôxy
sugar,đường; đường ăn,"Một chất ngọt màu trắng hoặc nâu, thường ở dạng tinh thể, được sử dụng để làm cho thức ăn và đồ uống ngọt hơn."
death,cái chết; sự chết,"Sự chấm dứt vĩnh viễn của sự sống trong một người hoặc động vật."
pretty,khá; xinh đẹp; dễ thương,"Tương đối, ở một mức độ nào đó; cũng có nghĩa là có ngoại hình dễ nhìn, thu hút (nhất là phụ nữ và trẻ em)."
skill,kỹ năng; kỹ xảo,"Khả năng làm tốt một việc gì đó, đặc biệt là khi đã được học hoặc luyện tập."
women,phụ nữ; đàn bà,"Số nhiều của 'woman'. Chỉ phái nữ trưởng thành."
season,mùa; mùa vụ,"Một trong bốn giai đoạn chính của năm (xuân, hạ, thu, đông), đặc trưng bởi sự thay đổi về thời tiết và thời gian ban ngày; cũng chỉ khoảng thời gian cụ thể trong năm cho một hoạt động nào đó."
solution,giải pháp; lời giải; dung dịch,"Một cách để giải quyết vấn đề hoặc khó khăn; đáp án cho một bài toán; hỗn hợp đồng nhất của hai hoặc nhiều chất."
magnet,nam châm,"Một vật có thể hút hoặc đẩy các vật khác làm từ sắt, niken hoặc coban."
silver,bạc; màu bạc,"Một kim loại quý màu trắng, bóng loáng, dùng làm đồ trang sức, tiền xu, đồ dùng nhà bếp, v.v.; hoặc màu sắc của kim loại này."
thank,cảm ơn; lời cảm ơn,"Thể hiện lòng biết ơn hoặc sự cảm kích đối với ai đó vì điều gì đó họ đã làm hoặc nói."
branch,cành cây; nhánh; chi nhánh,"Một phần của cây mọc ra từ thân chính hoặc một cành lớn hơn; cũng là một bộ phận hoặc văn phòng của một tổ chức lớn hơn, thường ở một địa điểm khác."
match,trận đấu; diêm quẹt; phù hợp; tương xứng; ghép đôi,"Một cuộc thi đấu thể thao; một cái que nhỏ dùng để đánh lửa; hoặc chỉ sự tương đồng, hòa hợp, hoặc ghép đôi hai thứ."
suffix,hậu tố; tiếp vị ngữ,"Một hoặc nhiều chữ cái thêm vào cuối một từ chính (gốc từ) để thay đổi nghĩa hoặc chức năng ngữ pháp của nó."
especially,đặc biệt là; nhất là,"Hơn những cái khác; nổi bật hoặc vượt trội hơn những cái thông thường."
fig,quả vả; cây vả,"Một loại trái cây ngọt, mềm có nhiều hạt nhỏ bên trong, mọc trên cây vả."
afraid,sợ; sợ hãi; ngại,"Cảm thấy sợ hãi; lo lắng về một điều gì đó không an toàn hoặc có thể gây hại; cũng có nghĩa là e ngại hoặc không dám làm gì."
huge,rất lớn; khổng lồ,"Có kích thước rất lớn; to lớn hơn mức bình thường."
sister,chị gái; em gái,"Người phụ nữ có cùng cha mẹ với người khác."
steel,thép,"Một loại hợp kim của sắt và carbon, rất cứng và bền, dùng trong xây dựng và chế tạo máy móc."
discuss,thảo luận; bàn bạc,"Nói chuyện hoặc viết về một chủ đề cụ thể để trao đổi ý kiến hoặc thông tin."
forward,về phía trước; tiến về phía trước; chuyển tiếp,"Theo hướng phía trước; cũng có nghĩa là đi về phía trước, hoặc gửi thư/email cho người khác."
similar,tương tự; na ná; giống nhau,"Có đặc điểm giống với thứ khác nhưng không giống hệt."
guide,người hướng dẫn; chỉ dẫn; hướng dẫn,"Người hoặc vật chỉ đường, cho lời khuyên, hoặc giải thích cách làm điều gì đó."
experience,kinh nghiệm; trải nghiệm,Sự hiểu biết hoặc kỹ năng có được qua việc thực hiện hoặc tiếp xúc với sự việc, con người hoặc tình huống.
score,điểm số; bàn thắng; ghi điểm,"Một số biểu thị thành tích trong một cuộc thi hoặc trò chơi; cũng có nghĩa là ghi bàn thắng hoặc điểm."
apple,quả táo,"Một loại trái cây tròn, ngọt, có vỏ màu đỏ, xanh lá cây hoặc vàng, thường được ăn sống."
bought,đã mua,"Quá khứ đơn và quá khứ phân từ của động từ ""buy"" (mua)."
led,đã dẫn; đã chỉ huy; đã bật sáng,"Quá khứ đơn và phân từ hai của 'lead' (chỉ dẫn, chỉ huy, dẫn đến) hoặc 'light' (bật sáng, thắp sáng)."
pitch,sân; cao độ; ném,"Một khu vực phẳng, thường là cỏ, được dùng cho các môn thể thao đồng đội; mức độ cao hay thấp của âm thanh hoặc giọng nói; hành động ném hoặc chuyền bóng."
coat,áo khoác; lớp phủ,"Áo mặc bên ngoài, thường ấm hoặc chống nước; cũng là một lớp vật liệu phủ lên bề mặt khác."
mass,khối lượng; quần chúng; thánh lễ,"Một lượng vật chất trong vật thể đo bằng cân nặng; số đông người dân bình thường; nghi thức Công giáo."
card,thẻ; thiếp,"Một miếng bìa cứng hoặc nhựa mỏng, thường hình chữ nhật, dùng cho nhiều mục đích như thanh toán, nhận dạng, hoặc gửi lời chúc."
band,ban nhạc; dải băng,"Một nhóm người chơi nhạc cụ cùng nhau, thường là cả hát; một dải vật liệu mỏng, phẳng dùng để buộc, trang trí hoặc đánh dấu."
rope,dây thừng; sợi dây,"Một sợi hoặc bó các sợi xoắn chặt hoặc bện lại với nhau, dùng để buộc, kéo hoặc leo."
slip,trượt; sợi,"Di chuyển hoặc trôi đi một cách mịn màng, dễ dàng hoặc bất ngờ, thường là vô tình; cũng là một miếng giấy nhỏ hoặc vải mỏng."
win,thắng; chiến thắng; đoạt,"Đạt được thành công trong một cuộc thi, trận đấu, hoặc cuộc chiến; giành được giải thưởng."
dream,giấc mơ; mơ,"Một loạt các suy nghĩ, hình ảnh và cảm xúc xảy ra trong tâm trí khi ngủ; cũng là một điều gì đó bạn rất muốn xảy ra."
evening,buổi tối,"Khoảng thời gian từ lúc mặt trời lặn cho đến khi đi ngủ hoặc đến đêm."
condition,điều kiện,"Một trạng thái cụ thể, đặc biệt là về sức khỏe hoặc môi trường; hoặc một yêu cầu phải được đáp ứng để một điều gì đó xảy ra."
feed,cho ăn; nuôi; cung cấp,"Cung cấp thức ăn cho người, động vật hoặc cây cối; cũng có nghĩa là cung cấp thứ gì đó (như thông tin, năng lượng) cho ai đó hoặc cái gì đó."
tool,công cụ; dụng cụ,"Thiết bị hoặc vật được thiết kế để thực hiện một công việc cụ thể."
total,tổng số; toàn bộ; tổng cộng,"Toàn bộ số lượng hoặc số tiền của mọi thứ cộng lại."
basic,cơ bản; đơn giản,"Thuộc về hoặc cấu thành nền tảng, cốt lõi của một cái gì đó; ở mức độ đơn giản nhất, không có các chi tiết phức tạp."
smell,ngửi; mùi,"Cảm nhận hoặc phát ra mùi hương bằng mũi; cũng là mùi hương cụ thể."
valley,thung lũng,"Một vùng đất trũng giữa hai ngọn núi hoặc đồi, thường có sông chảy qua."
nor,cũng không,"Được dùng sau một mệnh đề phủ định để giới thiệu một mệnh đề phủ định thứ hai, chỉ ra rằng điều gì đó khác cũng không đúng hoặc không xảy ra."
double,đôi; gấp đôi; nhân đôi,"Có số lượng hoặc kích thước gấp hai lần; cũng có nghĩa là làm cho cái gì đó lớn hơn gấp hai lần."
seat,ghế; chỗ ngồi,"Một vật đồ nội thất được thiết kế để người ta ngồi lên; cũng là vị trí hoặc không gian dành riêng cho một người để ngồi trong phương tiện giao thông, rạp hát, v.v."
arrive,đến; tới; đi đến,"Di chuyển đến một nơi nào đó, đặc biệt là ở cuối một chuyến đi hoặc quãng đường."
master,chuyên gia; thạc sĩ; làm chủ; bậc thầy,"Người có kiến thức hoặc kỹ năng vượt trội trong một lĩnh vực cụ thể; cấp bậc nhất trong một số nghề thủ công; có thể kiểm soát hoặc sở hữu hoàn toàn. "
track,đường mòn; đường ray; theo dõi; bài hát,"Đường hẹp, thường là đất hoặc cỏ; cặp đường song song bằng thép cho tàu hỏa đi; hành động theo dõi dấu vết hoặc sự tiến triển; một bài nhạc (trên album)."
parent,bố; mẹ; cha; má,"Người nuôi dưỡng và chăm sóc con cái (bố hoặc mẹ)."
shore,bờ biển; bờ hồ; bờ sông,"Phần đất dọc theo rìa của biển, hồ hoặc sông."
division,phép chia; sự phân chia; bộ phận,"1. Trong toán học: quá trình chia một số thành các phần bằng nhau. 2. Hành động hoặc quá trình chia cái gì đó thành các phần. 3. Một phần hoặc nhóm trong một cái lớn hơn."
sheet,tấm; tờ; ga trải giường,"Một mảnh vật liệu phẳng, mỏng (như giấy, kim loại) hoặc một miếng vải dùng để trải giường."
substance,chất; vật chất; nội dung,"Một loại vật liệu hoặc chất cụ thể; cũng có nghĩa là phần cốt lõi hoặc ý nghĩa chính của điều gì đó."
favor,ủng hộ; giúp đỡ; ơn; sự yêu thích,"Hành động hỗ trợ hoặc đồng ý với ai đó hoặc điều gì đó; một hành động tốt bụng làm giúp ai đó; cảm giác thích ai đó hoặc điều gì đó hơn những người hoặc vật khác."
connect,kết nối; nối; liên kết,"Thiếp lập sự liên lạc hoặc liên hệ giữa hai hoặc nhiều người, vật thể, hoặc khái niệm; kết nối hoặc nối lại với nhau."
post,bài đăng; bưu điện; gửi thư; chức vụ; cột,"Một mục được đăng trên mạng (như trên mạng xã hội hoặc diễn đàn); cơ quan phụ trách việc gửi và nhận thư; hành động gửi thư qua bưu điện; một vị trí trong công việc; một miếng gỗ hoặc kim loại thẳng đứng được cắm xuống đất."
spend,tiêu; dành,"Dùng tiền để mua thứ gì đó; hoặc dùng thời gian hoặc năng lượng vào một hoạt động cụ thể."
chord,hợp âm,"Một nhóm ba hoặc nhiều nốt nhạc được chơi cùng lúc tạo ra một âm thanh hòa quyện."
fat,chất béo; mập; béo,"Một chất tự nhiên được tìm thấy trong thực phẩm và cơ thể người, cung cấp năng lượng. Cũng dùng để miêu tả ai đó hoặc vật gì có nhiều mỡ."
glad,vui mừng; vui lòng,"Cảm thấy vui, hạnh phúc hoặc hài lòng về điều gì đó."
original,nguồn gốc; ban đầu; chính gốc,"Thuộc về hoặc liên quan đến trạng thái, thời kỳ hoặc nơi tồn tại trước đây; không phải là bản sao hoặc được sao chép từ cái khác."
share,chia sẻ; cổ phần,"Hành động phân phát cái gì đó cho nhiều người, hoặc có một phần của cái gì đó. Cũng là một phần quyền sở hữu trong một công ty."
station,nhà ga; trạm; đài,"Một địa điểm nơi tàu hỏa hoặc xe buýt dừng lại để đón và trả khách; hoặc một nơi có trang thiết bị đặc biệt để làm công việc gì đó (ví dụ: đài phát thanh)."
dad,bố; ba; cha,"Cha (cách gọi thân mật)."
bread,bánh mì,"Thực phẩm làm từ bột mỳ hoặc bột ngũ cốc khác, thường nhào với nước và men, rồi nướng chín."
charge,sạc; tính phí; chịu trách nhiệm,"Hành động nạp điện vào pin, yêu cầu thanh toán cho một dịch vụ hoặc sản phẩm, hoặc có trách nhiệm đối với ai đó/cái gì đó."
proper,đúng; chính xác; thích hợp,"Phù hợp với các tiêu chuẩn hoặc quy tắc xã hội; đúng, chính xác hoặc thích hợp cho một mục đích cụ thể."
bar,quán bar; thanh; rào chắn,"Một nơi bán đồ uống có cồn; một miếng vật liệu dài, cứng làm từ kim loại hoặc gỗ; một vật cản đường di chuyển."
offer,đưa ra; đề nghị; cung cấp,"Đưa ra một cái gì đó (vật, cơ hội, lời khuyên,...) để người khác chấp nhận hoặc từ chối; cũng có thể là giảm giá hoặc cho phép mua thứ gì đó."
segment,phân đoạn; mẩu; khúc; bộ phận,"Một trong các phần mà một vật hoặc một khu vực được chia hoặc tách ra; cũng chỉ một phần của đường truyền hình hoặc radio."
slave,nô lệ; người nô lệ,"Một người bị sở hữu và buộc phải làm việc cho người khác mà không được trả công và mất tự do."
duck,con vịt,"Một loài chim nước có cổ và chân ngắn, thường sống ở ao hồ và biển."
instant,ngay lập tức; tức thời; khoảnh khắc,"Xảy ra hoặc được thực hiện ngay lập tức; một khoảnh khắc hoặc thời điểm rất ngắn."
market,chợ; thị trường,"Địa điểm hoặc hệ thống nơi người ta mua và bán hàng hóa hoặc dịch vụ."
degree,bằng cấp; mức độ; độ,"Một đơn vị đo nhiệt độ hoặc góc; cũng là một chứng chỉ giáo dục đại học."
populate,sinh sống ở; cư ngụ tại; làm đầy; đưa dữ liệu vào,"(Nói về người) Sống ở một nơi nào đó; (nói về khu vực) có người sinh sống; (nói về thứ gì đó) làm đầy hoặc đưa dữ liệu vào."
chick,gà con; cô gái trẻ,"Con gà còn nhỏ; tiếng lóng chỉ một cô gái hoặc phụ nữ trẻ."
dear,kính gửi; thân mến (trong thư); thân yêu; đắt tiền,"Được dùng làm lời chào trong thư hoặc lời nói để thể hiện tình cảm yêu quý; cũng có nghĩa là có giá cao."
enemy,kẻ thù; địch thủ,"Người hoặc nhóm người đối địch, luôn tìm cách làm hại hoặc chống lại người khác."
reply,trả lời; hồi đáp,"Phản hồi bằng lời nói hoặc bằng văn bản cho một câu hỏi, thư hoặc bình luận."
drink,uống; đồ uống,"Hành động đưa chất lỏng vào miệng và nuốt; hoặc là chất lỏng dùng để uống."
occur,xảy ra; xảy đến; xuất hiện,"Diễn ra hoặc xảy ra, đặc biệt là một sự kiện hoặc hiện tượng."
support,ủng hộ; hỗ trợ; sự ủng hộ; sự hỗ trợ,"Giúp đỡ hoặc cung cấp hỗ trợ, cả về vật chất, tinh thần, hoặc tài chính; hoặc hành động đồng tình hoặc đồng ý."
speech,bài phát biểu; lời nói; tiếng nói; khả năng nói,"Hoạt động giao tiếp bằng lời nói; một bài nói chuyện trước công chúng; khả năng nói."
nature,tự nhiên; thiên nhiên,"Tổng thể thế giới vật lý, bao gồm thực vật, động vật, cảnh quan và các hiện tượng khác; bản chất hoặc đặc điểm vốn có của cái gì đó."
range,phạm vi; dãy; tầm,"Khoảng cách giữa hai điểm cực đại và cực tiểu của một cái gì đó (ví dụ: nhiệt độ, tuổi). Cũng có nghĩa là một khu vực hoặc một loại sản phẩm."
steam,hơi nước; hấp; bốc hơi,"Dạng khí của nước, được tạo ra khi nước sôi; hành động nấu chín bằng hơi nước nóng; hành động tỏa ra hoặc bốc lên dưới dạng hơi nước."
motion,chuyển động; sự chuyển động,"Hành động hoặc quá trình di chuyển hoặc thay đổi vị trí."
path,đường mòn; lối đi; con đường,"Một con đường nhỏ hoặc lối đi hình thành bằng cách đi bộ qua lại; hoặc một lộ trình hoặc hướng đi."
